object_id,utility_id,company_name,utility_type,electric_type,service_class,shape_area,shape_length
403,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,65978100.432863794,47510.84472198901
404,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,6432446.767221248,11799.663620515115
405,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,367723044.00930965,120067.86428125417
406,2000100.0,Kenergy Corp,200,RECC,RECC Kenergy Corp,27217.788340010615,870.5123521285108
407,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,436644919.2727416,164403.1064692271
408,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,49805063.172589704,28603.011971238204
409,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,1579716357.3188412,570487.6710773109
410,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,14866035.053785367,32018.82023750481
411,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,2294773991.7112727,693267.8327172011
412,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,944996519.0510578,152448.47303751225
413,2300.0,Jackson Energy Cooperative,200,Multi-Service A,Multi-Service A Jackson Energy Cooperative,70034040.48918906,42284.490614974005
414,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,3196724.890173504,8842.255893547008
415,2000100.0,Kenergy Corp,200,RECC,RECC Kenergy Corp,2320399993.100416,252725.9242923478
416,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,2819972.3723612987,7453.222964473105
417,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,70184186.71068935,49316.507496321676
418,3200.0,Taylor County R.E.C.C.,200,RECC,RECC Taylor County R.E.C.C.,95486791.00719778,42712.64349952608
419,3200.0,Taylor County R.E.C.C.,200,RECC,RECC Taylor County R.E.C.C.,3388690.0308085727,8230.720547206327
420,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,140046984.20908907,80485.50389053755
421,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,28751739.30271931,29761.971860560683
422,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,5947926.762207965,13392.829097806327
423,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,5844157.699942308,10300.032933044027
424,2400.0,Jackson Purchase Energy Corporation,200,RECC,RECC Jackson Purchase Energy Corporation,3618896210.72277,353279.5428659904
425,0.0,Pennyrile RECC,0,TVA,TVA Pennyrile RECC,67948844635.19183,1739052.3062822367
426,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,3768939.6387076033,8329.211819672055
427,1500.0,Farmers R.E.C.C.,200,RECC,RECC Farmers R.E.C.C.,1955114.9943803686,6002.609819269376
428,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,465210544.84863406,279168.1342806001
429,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,7180191.558789147,13315.864424268231
430,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,456463.5996950891,2565.2854571765906
431,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,3649729.7558135665,9807.873908250938
432,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,47071.94459875062,943.7456683533082
